(212, 376)
(959, 522)
(404, 322)
(140, 386)
(241, 290)
(150, 136)
(52, 8)
(542, 221)
(296, 207)
(920, 17)
(681, 256)
(872, 52)
(340, 15)
(994, 146)
(897, 14)
(742, 541)
(211, 591)
(327, 550)
(912, 225)
(909, 350)
(168, 199)
(663, 55)
(659, 60)
(638, 48)
(638, 65)
(110, 186)
(110, 239)
(83, 293)
(133, 319)
(176, 335)
(116, 282)
(73, 353)
(14, 471)
(221, 515)
(75, 565)
(301, 597)
(82, 472)
(292, 53)
(139, 57)
(75, 103)
(30, 133)
(24, 316)
(28, 273)
(53, 188)
(264, 79)
(509, 67)
(279, 194)
(454, 63)
(595, 7)
(521, 497)
(900, 610)
(1094, 505)
(1163, 613)
(1156, 78)
(1028, 368)
